Date  ,Season  ,Composer: Work,Soloist / Instrument,Conductor  ,Orchestra  ,Venue  ,City
10/21/1881,1881-82 Symphony Season,"Ludwig van Beethoven :  Consecration oft he House: Overture, Op. 124",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Christoph Willibald Gluck :  Orfeo ed Euridice, Act II: ""Che faro senza Euridice?""",Annie Louise Cary / Contralto,,,,
,,Franz Joseph Haydn :  Symphony No. 102 in B-flat major (B. & H. No. 12),,,,,
,,"Franz Schubert :  Rosamunde, D.797: (2) Ballet Music No. 1 in B minor",,,,,
,,"Franz Schubert :  Rosamunde, D.797: (9) Ballet Music No. 2 in G major",,,,,
,,"Frédéric Chopin :  Scherzo No. 3 in C-sharp minor, Op. 39",Annie Louise Cary / Contralto,,,,
,,"Carl Maria von Weber :  Jubel [Jubilee], Overture, Op. 59",,,,,
10/22/1881,1881-82 Symphony Season,"Ludwig van Beethoven :  Consecration oft he House: Overture, Op. 124",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Christoph Willibald Gluck :  Orfeo ed Euridice, Act II: ""Che faro senza Euridice?""",Annie Louise Cary / Contralto,,,,
,,Franz Joseph Haydn :  Symphony No. 102 in B-flat major (B. & H. No. 12),,,,,
,,"Franz Schubert :  Rosamunde, D.797: (2) Ballet Music No. 1 in B minor",,,,,
,,"Schubert, Franz :  Rosamunde, D.797: (9) Ballet Music No. 2 in G major",,,,,
,,"Max Bruch :  Odyssey, Op. 41: Penelope's Mourning Scene (Part II, No. 5, ""Hellstrahlender Tag"")",Annie Louise Cary / Contralto,,,,
,,"Carl Maria von Weber :  Jubel [Jubilee], Overture, Op. 59",,,,,
10/28/1881,1881-82 Symphony Season,"Johannes Brahms :  Tragic Overture in D minor, Op. 81",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Edvard Grieg :  Concerto for Piano in A minor, Op. 16",William Sherwood / Piano,,,,
,,"Ludwig van Beethoven :  Symphony No. 1 in C major, Op. 21",,,,,
,,"Robert Schumann :  Warum? [Why?], Op. 12, No. 3, for piano",William Sherwood / Piano,,,,
,,"Frédéric Chopin :  Scherzo No. 3 in C-sharp minor, Op. 39",William Sherwood / Piano,,,,
,,"Franz Lachner :  Suite No. 1 in D minor, Op. 113: March",,,,,
10/29/1881,1881-82 Symphony Season,"Johannes Brahms :  Tragic Overture in D minor, Op. 81",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Edvard Grieg :  Concerto for Piano in A minor, Op. 16",William Sherwood / Piano,,,,
,,"Ludwig van Beethoven :  Symphony No. 1 in C major, Op. 21",,,,,
,,"Robert Schumann :  Warum? [Why?], Op. 12, No. 3, for piano",William Sherwood / Piano,,,,
,,"Frédéric Chopin :  Scherzo No. 3 in C-sharp minor, Op. 39",William Sherwood / Piano,,,,
,,"Franz Lachner :  Suite No. 1 in D minor, Op. 113: March",,,,,
11/4/1881,1881-82 Symphony Season,"Johannes Brahms :  Tragic Overture in D minor, Op. 81",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"George Frideric Handel :  Giulio Cesare, Hwv 17: Act 3: Piangerò la sorte mia",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Wolfgang Amadeus Mozart :  Symphony No. 40 in G minor, K. 550 (original - without clarinet)",,,,,
,,"Antonin Dvorák :  Slavonic Dances, Op. 46, No. 4 in F major",,,,,
,,"Antonin Dvorák :  Slavonic Dances, Op. 46, No. 1 in C major",,,,,
,,George Henschel :  Hymne au Créateur,Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Otto Nicolai :  Merry Wives of Windsor: Overture,,,,,
11/5/1881,1881-82 Symphony Season,"Johannes Brahms :  Tragic Overture in D minor, Op. 81",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"George Frideric Handel :  Giulio Cesare, Hwv 17: Act 3: Piangerò la sorte mia",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Wolfgang Amadeus Mozart :  Symphony No. 40 in G minor, K. 550 (original - without clarinet)",,,,,
,,"Antonin Dvorák :  Slavonic Dances, Op. 46, No. 4 in F major",,,,,
,,"Antonin Dvorák :  Slavonic Dances, Op. 46, No. 1 in C major",,,,,
,,George Henschel :  Hymne au Créateur,Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,Otto Nicolai :  Merry Wives of Windsor: Overture,,,,,
11/11/1881,1881-82 Symphony Season,"Felix Mendelssohn :  Camacho's Wedding [Hochzeit des Camacho], Op. 10: Overture",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Ludwig Spohr :  Concerto for Violin No. 8 in A minor, Op. 47, ""Gesangsszene""",Leandro Campanari / Violin,,,,
,,"Ludwig van Beethoven :  Symphony No. 2 in D major, Op. 36",,,,,
,,"Camille Saint-Saëns :  Romance in C major for Violin, Op. 48",Leandro Campanari / Violin,,,,
,,Richard Wagner :  Meistersinger: Act I: Prelude,,,,,
11/12/1881,1881-82 Symphony Season,"Felix Mendelssohn :  Camacho's Wedding [Hochzeit des Camacho], Op. 10: Overture",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Ludwig Spohr :  Concerto for Violin No. 8 in A minor, Op. 47, ""Gesangsszene""",Leandro Campanari / Violin,,,,
,,"Ludwig van  Beethoven :  Symphony No. 2 in D major, Op. 36",,,,,
,,"Camille Saint-Saëns :  Romance in C major for Violin, Op. 48",Leandro Campanari / Violin,,,,
,,Richard Wagner :  Meistersinger: Act I: Prelude,,,,,
11/18/1881,1881-82 Symphony Season,Etienne-Nicolas Mehul :  Joseph and His Brethren: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Etienne-Nicolas Mehul :  Joseph and His Brethren: Recitative and Aria, ""Land of My Fathers""",Theodore J. Toedt / Tenor,,,,
,,"Ludwig van Beethoven :  Symphony No. 3 in E-flat major, Op. 55, ""Eroica""",,,,,
,,Anton  Rubinstein :  Dream (Voice and Piano),Theodore J. Toedt / Tenor,,,,
,,"George Henschel :  Gypsy [Gipsy] Serenade, for voice and piano",Theodore J. Toedt / Tenor,,,,
,,Luigi Cherubini :  Faniska: Overture,,,,,
11/19/1881,1881-82 Symphony Season,Etienne-Nicolas Mehul :  Joseph and His Brethren: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Etienne-Nicolas Mehul :  Joseph and His Brethren: Recitative and Aria, ""Land of My Fathers""",Theodore J. Toedt / Tenor,,,,
,,"Ludwig van Beethoven :  Symphony No. 3 in E-flat major, Op. 55, ""Eroica""",,,,,
,,Anton Rubinstein :  Dream (Voice and Piano),Theodore J. Toedt / Tenor,,,,
,,"George Henschel :  Gypsy [Gipsy] Serenade, for voice and piano",Theodore J. Toedt / Tenor,,,,
,,Luigi Cherubini :  Faniska: Overture,,,,,
11/25/1881,1881-82 Symphony Season,"Robert Schumann :  Overture, Scherzo, and Finale, Op. 52",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Joseph Joachim :  Concerto for Violin in D minor, Op. 11, ""Hungarian""",Bernhard Listemann / Violin,,,,
,,Luigi Boccherini :  Quartet for Strings No. 11: Minuet in A major,,,,,
,,"Carl Philipp Emanuel Bach :  Sinfonia in D major, W. 183, No.1",,,,,
11/26/1881,1881-82 Symphony Season,"Robert Schumann :  Overture, Scherzo, and Finale, Op. 52",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Joseph Joachim :  Concerto for Violin in D minor, Op. 11, ""Hungarian""",Bernhard Listemann / Violin,,,,
,,Luigi Boccherini :  Quartet for Strings No. 11: Minuet in A major,,,,,
,,"Carl Philipp Emanuel Bach :  Sinfonia in D major, W. 183, No.1",,,,,
12/2/1881,1881-82 Symphony Season,"Wolfgang Amadeus Mozart :  Zauberflöte, Die [Magic Flute], K. 620: Overture",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Francesco Rossi :  Mitrane: Ah, Rendimi Quel Core (Give Me Back That Heart)",Emily Winant / Contralto,,,,
,,"Ludwig van Beethoven :  Symphony No. 4 in B-flat major, Op. 60",,,,,
,,Christoph Willibald Gluck :  Ballet Suite No. 1 (arr. Gevaert),,,,,
,,"Carl Maria von Weber :  Abu Hassan: Aria, ""o, Fatima""",Emily Winant / Contralto,,,,
